	cluster1
Anatomical_structure_development	1.09e-26
Anatomical_structure_formation_involved_in_morphogenesis	1.42e-05
Anatomical_structure_morphogenesis	5.03e-24
Angiogenesis	0.0023
Animal_organ_development	2.66e-24
Animal_organ_morphogenesis	1.42e-17
Anterior/posterior_pattern_specification	2.79e-08
Aortic_valve_morphogenesis	0.0063
Apoptotic_process_involved_in_development	0.0076
Artery_development	0.0047
Astrocyte_differentiation	0.00067
Atrial_septum_morphogenesis	0.00068
Atrioventricular_node_development	0.0033
Atrioventricular_valve_development	0.004
Autonomic_nervous_system_development	0.0025
Axon_development	4.5e-08
Axon_guidance	6.65e-08
Axonogenesis	6.5e-08
Behavior	0.00077
Biological_regulation	1.65e-11
Blood_vessel_development	0.00048
Blood_vessel_morphogenesis	0.00029
Brain_development	3.39e-11
Branching_involved_in_blood_vessel_morphogenesis	0.0048
Branching_involved_in_ureteric_bud_morphogenesis	0.0019
Branching_morphogenesis_of_an_epithelial_tube	0.0042
Camera-type_eye_development	0.0028
Cardiac_chamber_formation	0.00046
Cardiac_chamber_morphogenesis	0.0029
Cardiac_muscle_cell_fate_commitment	0.0033
Cardiac_right_ventricle_morphogenesis	0.0014
Cardiac_septum_morphogenesis	0.0013
Cardiac_ventricle_formation	0.0051
Cardiac_ventricle_morphogenesis	0.0099
Cardiocyte_differentiation	0.0018
Cell-cell_signaling	2.61e-07
Cell_development	1.88e-14
Cell_differentiation	2.54e-24
Cell_differentiation_in_spinal_cord	9.68e-15
Cell_fate_commitment	7.33e-29
Cell_fate_determination	5.73e-07
Cell_fate_specification	1.1e-14
Cell_migration	5.07e-07
Cell_morphogenesis	2.21e-08
Cell_morphogenesis_involved_in_differentiation	1.06e-06
Cell_morphogenesis_involved_in_neuron_differentiation	1.63e-07
Cell_population_proliferation	9.21e-10
Cell_proliferation_in_forebrain	0.00014
Cellular_component_morphogenesis	3.06e-08
Cellular_process	0.0019
Central_nervous_system_development	2.46e-20
Central_nervous_system_neuron_differentiation	3.07e-17
Cerebral_cortex_neuron_differentiation	0.00027
Chemical_synaptic_transmission	2.02e-06
Chordate_embryonic_development	2.81e-06
Circulatory_system_development	7.41e-06
Columnar/cuboidal_epithelial_cell_differentiation	1.43e-07
Determination_of_left/right_symmetry	8e-05
Developmental_growth	0.00025
Developmental_maturation	0.0069
Developmental_process	2.12e-25
Diencephalon_development	5.17e-10
Digestive_system_development	2.19e-06
Digestive_tract_development	1.02e-05
Dopaminergic_neuron_differentiation	0.00065
Dorsal/ventral_pattern_formation	6.06e-11
Dorsal_spinal_cord_development	7.06e-05
Embryo_development	2.95e-12
Embryo_development_ending_in_birth_or_egg_hatching	1.08e-06
Embryonic_heart_tube_development	3.11e-06
Embryonic_limb_morphogenesis	0.00035
Embryonic_morphogenesis	4.67e-14
Embryonic_organ_development	4.79e-14
Embryonic_organ_morphogenesis	6.46e-15
Embryonic_skeletal_system_development	1.03e-06
Embryonic_skeletal_system_morphogenesis	8.27e-05
Endocardial_cushion_development	0.0023
Endocrine_pancreas_development	0.00011
Endocrine_system_development	6.6e-10
Epithelial_cell_apoptotic_process	0.0033
Epithelial_cell_development	0.0052
Epithelial_cell_differentiation	1.38e-13
Epithelial_cell_maturation	0.0025
Epithelial_cell_proliferation	0.0029
Epithelial_tube_morphogenesis	8.27e-05
Epithelium_development	1.18e-20
Export_from_cell	0.0027
Forebrain_development	6.41e-10
Forebrain_dorsal/ventral_pattern_formation	0.0026
Forebrain_generation_of_neurons	0.0033
Forebrain_morphogenesis	0.0089
Forebrain_regionalization	1.13e-08
GABAergic_neuron_differentiation	3.67e-05
Generation_of_neurons	1.97e-21
Gland_development	2.04e-09
Glandular_epithelial_cell_differentiation	0.00089
Glial_cell_differentiation	0.0049
Gliogenesis	0.0056
Glucose_homeostasis	0.0062
Head_development	2.53e-11
Heart_development	0.0003
Heart_looping	5.92e-06
Heart_morphogenesis	4.63e-05
Heart_valve_formation	0.0089
Heart_valve_morphogenesis	0.00042
Hematopoietic_or_lymphoid_organ_development	0.0014
Hindbrain_development	4.57e-06
Hindlimb_morphogenesis	0.0084
Hypothalamus_development	0.0032
Inner_ear_development	4.63e-05
Inner_ear_morphogenesis	1.97e-06
Kidney_epithelium_development	0.0045
Limb_development	0.00012
Limb_morphogenesis	0.00016
Limbic_system_development	0.00025
Locomotion	0.00025
Memory	0.0026
Mesenchymal_cell_differentiation	1.08e-05
Mesenchyme_development	1.09e-08
Mesoderm_development	0.0005
Midbrain-hindbrain_boundary_development	0.0026
Midbrain_dopaminergic_neuron_differentiation	0.0075
Modulation_of_chemical_synaptic_transmission	4.61e-06
Morphogenesis_of_a_branching_epithelium	0.0022
Morphogenesis_of_an_epithelium	3.1e-07
Multicellular_organism_development	5.31e-27
Multicellular_organismal_process	9.05e-23
Muscle_cell_differentiation	0.0024
Muscle_cell_fate_commitment	4.63e-05
Muscle_organ_development	0.00028
Muscle_structure_development	0.00011
Muscle_tissue_development	1.99e-05
Negative_regulation_of_RNA_metabolic_process	2.18e-05
Negative_regulation_of_biological_process	0.00026
Negative_regulation_of_cell_differentiation	2.24e-05
Negative_regulation_of_cellular_biosynthetic_process	0.00015
Negative_regulation_of_cellular_process	0.00013
Negative_regulation_of_developmental_process	1.31e-05
Negative_regulation_of_epithelial_cell_apoptotic_process	0.0052
Negative_regulation_of_macromolecule_biosynthetic_process	7.79e-05
Negative_regulation_of_neuron_differentiation	1.48e-06
Negative_regulation_of_transcription,_DNA-templated	1.46e-05
Negative_regulation_of_transcription_by_RNA_polymerase_II	1.18e-07
Nephron_tubule_development	0.0027
Nervous_system_development	7.39e-23
Nervous_system_process	5.74e-05
Neural_crest_cell_differentiation	0.0047
Neural_crest_cell_migration	0.0046
Neural_precursor_cell_proliferation	7.43e-08
Neural_tube_patterning	3.22e-05
Neuroendocrine_cell_differentiation	0.00082
Neuroepithelial_cell_differentiation	2.75e-05
Neuron_development	4.13e-11
Neuron_differentiation	1.26e-21
Neuron_fate_commitment	1.35e-14
Neuron_fate_determination	0.00022
Neuron_fate_specification	5.86e-08
Neuron_migration	1.72e-06
Neuron_projection_development	4.46e-08
Neuron_projection_morphogenesis	2.87e-09
Neurotransmitter_secretion	0.0031
Neurotransmitter_transport	1.51e-05
Odontogenesis	0.0031
Olfactory_bulb_development	0.00065
Olfactory_bulb_interneuron_differentiation	0.0063
Organ_growth	0.0056
Outflow_tract_septum_morphogenesis	0.0032
Pallium_development	0.00071
Pancreas_development	0.00018
Pancreatic_A_cell_differentiation	0.0051
Pattern_specification_process	9.23e-20
Pericardium_development	0.0014
Pharyngeal_system_development	0.0048
Pituitary_gland_development	0.0016
Plasma_membrane_bounded_cell_projection_organization	2.09e-05
Positive_regulation_of_RNA_metabolic_process	1.23e-14
Positive_regulation_of_biological_process	1.43e-06
Positive_regulation_of_cardioblast_differentiation	0.0019
Positive_regulation_of_cardiocyte_differentiation	0.00082
Positive_regulation_of_cell_development	0.0014
Positive_regulation_of_cell_differentiation	2.82e-07
Positive_regulation_of_cell_population_proliferation	0.0042
Positive_regulation_of_cellular_metabolic_process	2.16e-10
Positive_regulation_of_cellular_process	4.8e-07
Positive_regulation_of_developmental_growth	5.18e-05
Positive_regulation_of_developmental_process	7.98e-09
Positive_regulation_of_epithelial_cell_proliferation	0.0084
Positive_regulation_of_gliogenesis	0.0079
Positive_regulation_of_macromolecule_metabolic_process	3.29e-10
Positive_regulation_of_metabolic_process	3.84e-10
Positive_regulation_of_multicellular_organismal_process	1.88e-05
Positive_regulation_of_neurogenesis	0.0033
Positive_regulation_of_neuron_differentiation	6.33e-05
Positive_regulation_of_nitrogen_compound_metabolic_process	1.37e-09
Positive_regulation_of_oligodendrocyte_differentiation	0.0035
Positive_regulation_of_transcription,_DNA-templated	3.53e-15
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.41e-16
Proximal/distal_pattern_formation	0.0084
Regionalization	7.59e-18
Regulation_of_RNA_metabolic_process	5.36e-19
Regulation_of_anatomical_structure_morphogenesis	3.65e-05
Regulation_of_animal_organ_formation	0.004
Regulation_of_animal_organ_morphogenesis	6.78e-05
Regulation_of_axon_extension	0.00062
Regulation_of_biological_process	1.61e-08
Regulation_of_biological_quality	7.91e-07
Regulation_of_cardioblast_differentiation	0.00012
Regulation_of_cell_communication	8.05e-05
Regulation_of_cell_development	0.0018
Regulation_of_cell_differentiation	3.25e-09
Regulation_of_cell_population_proliferation	0.00014
Regulation_of_cellular_biosynthetic_process	8.43e-16
Regulation_of_cellular_component_organization	0.0099
Regulation_of_cellular_metabolic_process	7e-13
Regulation_of_cellular_process	5.32e-10
Regulation_of_developmental_growth	5.4e-07
Regulation_of_developmental_process	2.96e-13
Regulation_of_epithelial_cell_proliferation	0.00034
Regulation_of_gene_expression	6.04e-17
Regulation_of_gliogenesis	0.0064
Regulation_of_growth	0.00024
Regulation_of_macromolecule_biosynthetic_process	7.64e-17
Regulation_of_macromolecule_metabolic_process	1.82e-12
Regulation_of_metabolic_process	8.97e-12
Regulation_of_multicellular_organismal_development	0.00077
Regulation_of_multicellular_organismal_process	7.13e-07
Regulation_of_nervous_system_development	0.00054
Regulation_of_neural_precursor_cell_proliferation	0.00052
Regulation_of_neurogenesis	0.0015
Regulation_of_neuron_differentiation	7.36e-09
Regulation_of_neuron_projection_development	0.00049
Regulation_of_neurotransmitter_levels	0.00059
Regulation_of_nitrogen_compound_metabolic_process	4.26e-12
Regulation_of_nucleobase-containing_compound_metabolic_process	1.64e-17
Regulation_of_odontogenesis	5.74e-05
Regulation_of_odontogenesis_of_dentin-containing_tooth	0.00028
Regulation_of_plasma_membrane_bounded_cell_projection_organization	0.0044
Regulation_of_primary_metabolic_process	2.34e-11
Regulation_of_signaling	8.79e-05
Regulation_of_synapse_organization	0.002
Regulation_of_synapse_structure_or_activity	0.00046
Regulation_of_system_process	0.00044
Regulation_of_transcription,_DNA-templated	9.74e-20
Regulation_of_transcription_by_RNA_polymerase_II	6.38e-25
Response_to_chemical	0.0017
Response_to_glucose	0.0047
Roof_of_mouth_development	0.0044
Sensory_organ_development	2.49e-09
Sensory_organ_morphogenesis	3.72e-06
Signal_release	0.0044
Skeletal_muscle_cell_differentiation	0.00038
Skeletal_muscle_tissue_development	0.0041
Skeletal_system_development	8.07e-06
Skeletal_system_morphogenesis	0.00014
Sodium_ion_transport	0.0074
Spinal_cord_association_neuron_differentiation	0.00028
Spinal_cord_development	8.18e-14
Spinal_cord_dorsal/ventral_patterning	0.00099
Spinal_cord_motor_neuron_differentiation	1.16e-06
Spleen_development	0.0008
Stem_cell_differentiation	0.0043
Striated_muscle_cell_differentiation	0.0017
Striated_muscle_tissue_development	0.0045
Synaptic_signaling	1.63e-06
Synaptic_vesicle_cycle	0.00046
System_development	4.26e-28
System_process	1.91e-05
Telencephalon_development	1.41e-05
