	cluster1
Anatomical_structure_development	2.4e-22
Anatomical_structure_formation_involved_in_morphogenesis	2.05e-05
Anatomical_structure_morphogenesis	1.91e-20
Animal_organ_development	1.96e-16
Animal_organ_morphogenesis	2.15e-17
Anterior/posterior_axon_guidance	0.0035
Anterior/posterior_pattern_specification	0.00012
Aortic_valve_morphogenesis	0.0089
Atrial_cardiac_muscle_tissue_development	0.003
Atrioventricular_node_development	0.0046
Atrioventricular_valve_formation	0.0046
Axis_specification	0.0011
Axon_development	9.47e-09
Axon_guidance	6.8e-07
Axonogenesis	1.31e-08
Biological_regulation	6.21e-08
Brain_development	5.37e-11
Cardiac_atrium_morphogenesis	0.0067
Cardiac_chamber_morphogenesis	0.00062
Cardiac_conduction_system_development	0.0001
Cardiac_muscle_cell_development	0.00075
Cardiac_muscle_cell_differentiation	0.00051
Cardiac_muscle_tissue_growth	0.0081
Cardiac_pacemaker_cell_development	0.0057
Cardiac_right_ventricle_morphogenesis	0.0001
Cardiocyte_differentiation	3.87e-06
Cell-cell_signaling	6.4e-05
Cell_development	2.46e-10
Cell_differentiation	9.89e-18
Cell_differentiation_in_spinal_cord	0.00037
Cell_fate_commitment	1.4e-18
Cell_fate_determination	0.0025
Cell_fate_specification	3.62e-07
Cell_migration	0.0094
Cell_morphogenesis	2.98e-06
Cell_morphogenesis_involved_in_differentiation	2.71e-07
Cell_morphogenesis_involved_in_neuron_differentiation	3.71e-08
Cell_population_proliferation	5.92e-05
Cellular_component_morphogenesis	1.03e-06
Central_nervous_system_development	9.63e-14
Central_nervous_system_neuron_differentiation	2.77e-08
Cerebral_cortex_development	0.0037
Cerebral_cortex_neuron_differentiation	0.0053
Chemical_synaptic_transmission	0.0049
Chordate_embryonic_development	6.83e-09
Circulatory_system_development	0.0036
Columnar/cuboidal_epithelial_cell_differentiation	0.0018
Developmental_growth	0.0052
Developmental_process	3.56e-21
Developmental_process_involved_in_reproduction	0.00026
Diencephalon_development	2.22e-06
Digestive_tract_development	0.00012
Digestive_tract_morphogenesis	0.0035
Dopaminergic_neuron_differentiation	2.89e-06
Dorsal/ventral_pattern_formation	1.37e-09
Dorsal_spinal_cord_development	0.002
Embryo_development	2.41e-14
Embryo_development_ending_in_birth_or_egg_hatching	2.43e-09
Embryonic_forelimb_morphogenesis	0.00073
Embryonic_heart_tube_development	0.0038
Embryonic_limb_morphogenesis	0.0035
Embryonic_morphogenesis	9.02e-10
Embryonic_organ_development	4.67e-12
Embryonic_organ_morphogenesis	6.87e-10
Embryonic_skeletal_system_development	0.005
Endocrine_system_development	1.28e-05
Epithelial_cell_differentiation	6.96e-06
Epithelial_to_mesenchymal_transition	0.0031
Epithelial_tube_morphogenesis	0.0026
Epithelium_development	4.11e-09
Forebrain_development	1.26e-10
Forebrain_generation_of_neurons	0.0046
Gland_development	1.83e-08
Heart_development	0.00012
Heart_looping	0.0092
Heart_morphogenesis	0.00037
Heart_valve_development	0.0014
Heart_valve_morphogenesis	0.0055
Hypothalamus_development	1.33e-05
Inner_ear_development	6.64e-05
Inner_ear_morphogenesis	2.7e-05
Limbic_system_development	3.87e-06
Mesenchyme_development	0.0015
Modulation_of_chemical_synaptic_transmission	0.0025
Morphogenesis_of_an_epithelium	0.0035
Multicellular_organism_development	5.33e-24
Multicellular_organismal_process	1.09e-18
Muscle_cell_development	0.0029
Muscle_organ_development	0.0073
Muscle_structure_development	0.0023
