	cluster1
Anatomical_structure_development	4.75e-19
Anatomical_structure_formation_involved_in_morphogenesis	1.87e-05
Anatomical_structure_morphogenesis	9.21e-16
Animal_organ_development	9.21e-16
Animal_organ_morphogenesis	5.21e-18
Anterior/posterior_pattern_specification	1.78e-05
Axon_development	0.0011
Axon_guidance	0.0052
Axonogenesis	0.0018
Biological_regulation	0.00013
Blood_vessel_development	0.0023
Bone_morphogenesis	0.0012
Brain_development	2.57e-10
Branching_morphogenesis_of_an_epithelial_tube	0.0056
Camera-type_eye_development	7.76e-06
Camera-type_eye_morphogenesis	0.0047
Cardiac_chamber_development	9.1e-05
Cardiac_chamber_morphogenesis	7.27e-05
Cardiac_right_ventricle_morphogenesis	0.0018
Cardiac_septum_development	0.0018
Cardiac_septum_morphogenesis	0.0017
Cardiac_ventricle_development	0.0044
Cardiac_ventricle_morphogenesis	0.0017
Cartilage_development	0.00058
Cartilage_morphogenesis	0.007
Cell-cell_signaling	1.74e-05
Cell_development	1.77e-07
Cell_differentiation	5.86e-19
Cell_differentiation_in_spinal_cord	2.67e-05
Cell_differentiation_involved_in_metanephros_development	7.27e-05
Cell_fate_commitment	2.97e-16
Cell_fate_determination	0.0023
Cell_fate_specification	5.45e-12
Cell_morphogenesis	0.00058
Cell_population_proliferation	5.11e-05
Cell_projection_morphogenesis	0.0001
Cell_projection_organization	0.0014
Cellular_component_morphogenesis	0.00031
Central_nervous_system_development	3.12e-15
Central_nervous_system_neuron_differentiation	2.58e-06
Cerebral_cortex_neuron_differentiation	0.0053
Cerebral_cortex_regionalization	0.0034
Chemical_synaptic_transmission	0.0047
Chordate_embryonic_development	1.19e-09
Circulatory_system_development	0.0011
Columnar/cuboidal_epithelial_cell_differentiation	2.23e-07
Connective_tissue_development	0.00014
Cranial_nerve_development	5.51e-05
Cranial_nerve_formation	0.0086
Cranial_nerve_morphogenesis	0.0079
Developmental_process	2.07e-17
Developmental_process_involved_in_reproduction	0.0053
Digestive_tract_development	1.43e-05
Digestive_tract_morphogenesis	0.00029
Dorsal/ventral_axis_specification	0.0086
Dorsal/ventral_pattern_formation	2.53e-08
Ear_development	0.00017
