	cluster1	cluster2	cluster3
Anatomical_structure_development	2.6e-16	1	1
Anatomical_structure_formation_involved_in_morphogenesis	7.81e-05	1	1
Anatomical_structure_morphogenesis	8.66e-13	1	1
Animal_organ_development	6.19e-14	1	1
Animal_organ_morphogenesis	1.59e-11	1	1
Anterior/posterior_pattern_specification	4.14e-06	1	1
Axis_specification	0.00046	1	1
Axon_development	7.96e-09	1	1
Axon_guidance	1.41e-07	1	1
Axonogenesis	8.69e-08	1	1
Biological_regulation	1.44e-05	1	1
Brain_development	1.09e-08	1	1
Branching_morphogenesis_of_an_epithelial_tube	0.0004	1	1
Camera-type_eye_development	0.0053	1	1
Cell-cell_signaling	1.35e-05	1	1
Cell_development	5.39e-10	1	1
Cell_differentiation	2.5e-15	1	1
Cell_differentiation_in_spinal_cord	0.00019	1	1
Cell_differentiation_involved_in_kidney_development	0.0019	1	1
Cell_fate_commitment	5.39e-10	1	1
Cell_fate_determination	0.0014	1	1
Cell_fate_specification	0.0023	1	1
Cell_migration	0.0052	1	1
Cell_morphogenesis	2.23e-05	1	1
Cell_motility	0.0096	1	1
Cellular_component_organization	0.0023	1	1
Cellular_process	0.002	1	1
Cellular_response_to_BMP_stimulus	0.00081	1	1
Central_nervous_system_development	1.34e-12	1	1
Central_nervous_system_neuron_differentiation	6.94e-08	1	1
Cerebral_cortex_GABAergic_interneuron_differentiation	0.0066	1	1
Chemical_synaptic_transmission	0.0056	1	1
Chemotaxis	0.00017	1	1
Chordate_embryonic_development	0.0061	1	1
Columnar/cuboidal_epithelial_cell_differentiation	8.57e-05	1	1
Connective_tissue_development	0.00027	1	1
Dorsal/ventral_axis_specification	0.0066	1	1
Dorsal/ventral_pattern_formation	1.11e-07	1	1
Ear_morphogenesis	0.0003	1	1
Embryo_development	1.41e-07	1	1
Embryonic_eye_morphogenesis	0.0079	1	1
Embryonic_morphogenesis	8.57e-06	1	1
Embryonic_organ_development	1.32e-06	1	1
Embryonic_organ_morphogenesis	3.33e-07	1	1
Endocardial_cushion_formation	0.0023	1	1
Endocrine_pancreas_development	7.39e-05	1	1
Endocrine_system_development	0.00033	1	1
Epithelial_cell_development	0.0032	1	1
Epithelial_cell_differentiation	1.41e-07	1	1
Epithelium_development	5.29e-10	1	1
Eye_development	0.0033	1	1
Forebrain_development	1.18e-06	1	1
Forebrain_neuron_differentiation	7.39e-05	1	1
Gland_development	0.0004	1	1
Gland_morphogenesis	0.0056	1	1
Glandular_epithelial_cell_differentiation	0.0062	1	1
Head_development	1.2e-09	1	1
Hindbrain_development	0.0057	1	1
Inner_ear_morphogenesis	0.00084	1	1
Kidney_development	0.0023	1	1
Kidney_epithelium_development	0.00043	1	1
Kidney_mesenchyme_development	0.0011	1	1
Limb_development	0.0024	1	1
Limb_morphogenesis	0.0042	1	1
Limbic_system_development	0.0011	1	1
Mesenchymal_cell_apoptotic_process	0.0079	1	1
Mesenchymal_cell_differentiation	0.0017	1	1
Mesenchyme_development	0.00045	1	1
Mesenchyme_morphogenesis	0.0031	1	1
Metanephric_nephron_development	0.00046	1	1
Metanephros_development	2.12e-05	1	1
Morphogenesis_of_a_branching_epithelium	0.00019	1	1
Multicellular_organism_development	3.37e-18	1	1
Multicellular_organismal_process	5.04e-14	1	1
Muscle_tissue_development	0.0042	1	1
Negative_regulation_of_RNA_metabolic_process	2.36e-08	1	1
Negative_regulation_of_cell_differentiation	0.003	1	1
Negative_regulation_of_cellular_biosynthetic_process	2.3e-07	1	1
Negative_regulation_of_cellular_metabolic_process	0.00016	1	1
Negative_regulation_of_cellular_process	0.0042	1	1
Negative_regulation_of_developmental_process	0.0025	1	1
Negative_regulation_of_macromolecule_biosynthetic_process	1.09e-07	1	1
Negative_regulation_of_macromolecule_metabolic_process	0.0013	1	1
Negative_regulation_of_neuron_differentiation	0.0013	1	1
Negative_regulation_of_nitrogen_compound_metabolic_process	0.0002	1	1
Negative_regulation_of_transcription,_DNA-templated	1.61e-08	1	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	1.41e-07	1	1
Nephron_development	0.0004	1	1
Nephron_epithelium_development	0.0057	1	1
Nervous_system_development	9.95e-18	3.83e-05	1
Nervous_system_process	0.0066	1	1
Neural_precursor_cell_proliferation	0.0043	1	1
Neurogenesis	6.54e-13	1	1
Neuron_development	1.86e-07	1	1
Neuron_differentiation	1.77e-14	0.00023	1
