	cluster1
Anatomical_structure_development	2.12e-23
Anatomical_structure_formation_involved_in_morphogenesis	1.3e-06
Anatomical_structure_morphogenesis	4.65e-17
Animal_organ_development	4.77e-17
Animal_organ_morphogenesis	1.26e-12
Anterior/posterior_pattern_specification	1.81e-05
Apoptotic_process_involved_in_development	0.0095
Autonomic_nervous_system_development	0.0031
Axon_development	6.34e-08
Axon_guidance	9.37e-08
Axonogenesis	9.2e-08
Behavior	0.001
Biological_regulation	2.24e-05
Blood_vessel_development	0.0068
Brain_development	1.62e-09
Branching_morphogenesis_of_an_epithelial_tube	0.0053
Camera-type_eye_development	0.00086
Cardiac_chamber_development	0.0034
Cardiac_chamber_morphogenesis	0.0036
Cardiac_pacemaker_cell_development	0.0053
Cardiac_right_ventricle_morphogenesis	0.0018
Cardiac_septum_development	0.0017
Cardiac_septum_morphogenesis	0.0016
Cardiac_ventricle_formation	0.0064
Cartilage_morphogenesis	0.0064
Cell-cell_signaling	1.29e-06
Cell_communication	0.0011
Cell_development	2.01e-13
Cell_differentiation	9.54e-20
Cell_fate_commitment	2.48e-17
Cell_fate_determination	0.00021
Cell_fate_specification	3.08e-08
Cell_migration	0.0011
Cell_morphogenesis	3.22e-08
Cell_morphogenesis_involved_in_differentiation	1.33e-06
Cell_morphogenesis_involved_in_neuron_differentiation	2.25e-07
Cell_motility	0.003
Cell_population_proliferation	5.63e-05
Cell_projection_morphogenesis	6.27e-09
Cell_projection_organization	3.96e-07
Cellular_component_morphogenesis	8.53e-09
Cellular_component_organization	0.0045
Cellular_process	0.001
Cellular_response_to_BMP_stimulus	0.0098
Cellular_response_to_endogenous_stimulus	0.0046
Central_nervous_system_development	2.29e-14
Central_nervous_system_neuron_differentiation	1.91e-05
Chemical_synaptic_transmission	0.00033
Chordate_embryonic_development	1.77e-07
Circulatory_system_development	0.0011
Cognition	0.0021
Columnar/cuboidal_epithelial_cell_differentiation	0.0095
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	0.0024
Connective_tissue_development	0.0037
Cranial_nerve_development	0.00066
Cranial_nerve_morphogenesis	0.0071
Detection_of_stimulus_involved_in_sensory_perception_of_pain	0.0049
Diencephalon_development	0.00033
Dopaminergic_neuron_differentiation	0.00086
Dorsal/ventral_pattern_formation	0.00049
Ear_morphogenesis	0.00011
Embryo_development	2.83e-09
Embryonic_digit_morphogenesis	0.0057
Embryonic_epithelial_tube_formation	0.0042
Embryonic_limb_morphogenesis	0.00051
Embryonic_morphogenesis	1.03e-09
Embryonic_organ_development	3.86e-07
Embryonic_organ_morphogenesis	6.27e-09
Embryonic_skeletal_system_development	0.00012
Embryonic_skeletal_system_morphogenesis	0.0061
Endocrine_system_development	0.00012
Epithelial_cell_development	0.00026
Epithelial_cell_differentiation	1.11e-11
Epithelial_tube_morphogenesis	0.00012
Epithelium_development	3.67e-13
Export_from_cell	0.0034
Eye_development	0.00068
Forebrain_development	4.18e-08
Forebrain_neuron_differentiation	0.00015
Forebrain_regionalization	0.0035
GABAergic_neuron_differentiation	0.0011
Generation_of_neurons	3.69e-20
Gland_development	3.11e-09
Gland_morphogenesis	0.0091
Head_development	4.19e-11
Heart_development	0.0045
Heart_looping	0.0082
