	cluster1
Anatomical_structure_development	2.4e-22
Anatomical_structure_formation_involved_in_morphogenesis	5.49e-06
Anatomical_structure_morphogenesis	1.43e-22
Animal_organ_development	5.09e-20
Animal_organ_morphogenesis	1.27e-19
Anterior/posterior_pattern_specification	0.00011
Apoptotic_process_involved_in_development	0.00088
Atrioventricular_node_development	0.0046
Axis_specification	0.007
Axon_development	1.2e-08
Axon_guidance	1.41e-09
Axonogenesis	1.63e-08
Biological_regulation	1.58e-05
Brain_development	1.09e-11
Branching_morphogenesis_of_an_epithelial_tube	0.00095
Camera-type_eye_development	0.0002
Camera-type_eye_morphogenesis	0.0049
Cardiac_atrium_morphogenesis	0.0065
Cardiac_chamber_morphogenesis	0.0006
Cardiac_conduction_system_development	0.0014
Cardiac_muscle_cell_differentiation	0.0041
Cardiac_muscle_tissue_development	0.0053
Cardiac_pacemaker_cell_development	0.0057
Cardiac_septum_morphogenesis	0.0018
Cardiocyte_differentiation	0.00033
Cartilage_development	0.00061
Cell-cell_signaling	5.18e-06
Cell_development	2.6e-13
Cell_differentiation	4.15e-18
Cell_fate_commitment	5.33e-13
Cell_fate_specification	3.26e-08
Cell_morphogenesis	1.81e-07
Cell_morphogenesis_involved_in_differentiation	3.29e-07
Cell_population_proliferation	8.4e-07
Cellular_component_morphogenesis	2.63e-07
Central_nervous_system_development	8.42e-13
Central_nervous_system_neuron_differentiation	2.46e-06
Cerebral_cortex_GABAergic_interneuron_differentiation	0.00037
Chemical_synaptic_transmission	0.0049
Chemotaxis	1.2e-05
Chordate_embryonic_development	3.93e-06
Circulatory_system_development	0.0089
Columnar/cuboidal_epithelial_cell_differentiation	0.0017
Connective_tissue_development	0.00015
Developmental_growth	7.65e-05
Developmental_process	1.08e-19
Diencephalon_development	0.00031
Digestive_system_development	3.45e-07
Digestive_tract_development	1.53e-06
Digestive_tract_morphogenesis	0.0003
Dorsal/ventral_pattern_formation	0.0039
Ear_morphogenesis	0.0047
Embryo_development	3.03e-11
Embryonic_camera-type_eye_morphogenesis	0.0049
Embryonic_digestive_tract_morphogenesis	0.0014
Embryonic_forelimb_morphogenesis	0.0086
Embryonic_limb_morphogenesis	7.01e-07
Embryonic_morphogenesis	4.59e-12
Embryonic_organ_development	2.89e-10
Embryonic_organ_morphogenesis	7.04e-09
Embryonic_skeletal_system_development	1.26e-05
Embryonic_skeletal_system_morphogenesis	0.00095
Endocardial_cushion_development	0.0031
Endocrine_pancreas_development	0.0018
Endocrine_system_development	1.26e-05
Epithelial_cell_differentiation	1.67e-06
Epithelial_tube_morphogenesis	0.00056
Epithelium_development	9.87e-12
Export_from_cell	6.14e-05
Eye_development	0.00016
Forebrain_development	7.64e-09
Forebrain_neuron_differentiation	0.00014
Generation_of_neurons	7.63e-17
Gland_development	7.36e-07
Head_development	2.87e-13
Heart_development	0.0051
Heart_morphogenesis	0.0018
Hindbrain_development	0.00035
Hippocampus_development	0.0041
Hormone_secretion	0.0065
Insulin_secretion	0.0034
Kidney_development	0.0062
Kidney_epithelium_development	0.001
Kidney_mesenchyme_development	0.0016
Limb_development	3.2e-06
Locomotion	4.41e-06
Mesenchymal_cell_differentiation	0.00068
Mesenchymal_cell_proliferation	0.00036
Mesenchyme_development	1.03e-06
Metanephric_nephron_development	0.0095
Metanephros_development	0.0043
Morphogenesis_of_a_branching_epithelium	0.0005
Morphogenesis_of_a_branching_structure	0.00011
Morphogenesis_of_an_epithelium	2.46e-06
Multicellular_organism_development	5.33e-24
Multicellular_organismal_process	5.89e-16
Muscle_cell_differentiation	0.0033
Muscle_structure_development	0.007
Muscle_tissue_development	0.003
Negative_regulation_of_RNA_metabolic_process	0.0018
Negative_regulation_of_apoptotic_process	0.008
Negative_regulation_of_cell_development	0.0056
Negative_regulation_of_cell_differentiation	0.00044
Negative_regulation_of_cellular_biosynthetic_process	0.0078
Negative_regulation_of_developmental_process	5.06e-06
Negative_regulation_of_macromolecule_biosynthetic_process	0.0048
Negative_regulation_of_nervous_system_development	0.0018
Negative_regulation_of_neurogenesis	0.0079
Negative_regulation_of_programmed_cell_death	0.0041
Negative_regulation_of_transcription,_DNA-templated	0.0014
Nephron_development	0.00095
Nephron_morphogenesis	0.002
Nervous_system_development	9.53e-24
Nervous_system_process	0.0088
Neural_crest_cell_differentiation	0.0065
Neuroblast_differentiation	0.0046
Neurogenesis	2.1e-16
Neuron_development	2.6e-12
Neuron_differentiation	5.79e-17
Neuron_fate_commitment	1.26e-05
Neuron_fate_specification	0.00061
Neuron_projection_development	3.45e-07
Neuron_projection_morphogenesis	2.99e-08
Neurotransmitter_transport	0.00016
Odontogenesis	8.46e-05
Odontogenesis_of_dentin-containing_tooth	4.7e-05
Pallium_development	2.27e-05
Pancreas_development	2.21e-05
Pattern_specification_process	1.72e-14
Pericardium_development	0.0019
Plasma_membrane_bounded_cell_projection_organization	9.11e-06
Positive_regulation_of_RNA_metabolic_process	2.6e-12
Positive_regulation_of_biological_process	1.85e-07
Positive_regulation_of_cardioblast_differentiation	0.0026
Positive_regulation_of_cell_differentiation	0.00028
Positive_regulation_of_cellular_biosynthetic_process	8.38e-11
Positive_regulation_of_cellular_metabolic_process	1.48e-08
Positive_regulation_of_cellular_process	3.65e-07
Positive_regulation_of_developmental_growth	0.00048
Positive_regulation_of_developmental_process	2.46e-06
Positive_regulation_of_growth	0.0025
Positive_regulation_of_heart_growth	0.0086
Positive_regulation_of_macromolecule_metabolic_process	2.92e-06
Positive_regulation_of_metabolic_process	4.66e-07
Positive_regulation_of_multicellular_organismal_process	0.0006
Positive_regulation_of_nitrogen_compound_metabolic_process	1.59e-06
Positive_regulation_of_organ_growth	0.00017
Positive_regulation_of_transcription,_DNA-templated	8.42e-13
Positive_regulation_of_transcription_by_RNA_polymerase_II	3.23e-13
Protein_secretion	6.77e-05
Proximal/distal_pattern_formation	6.63e-05
Regionalization	1e-10
Regulation_of_RNA_metabolic_process	2.18e-13
Regulation_of_anatomical_structure_morphogenesis	0.0046
Regulation_of_biological_process	9.56e-06
Regulation_of_biological_quality	0.008
Regulation_of_cell_development	0.0025
Regulation_of_cell_differentiation	0.0002
Regulation_of_cellular_biosynthetic_process	6.8e-11
Regulation_of_cellular_metabolic_process	6.69e-10
Regulation_of_cellular_process	5.31e-07
Regulation_of_developmental_growth	2.57e-05
Regulation_of_developmental_process	6.1e-08
Regulation_of_epithelial_cell_proliferation	0.0073
Regulation_of_gene_expression	7.33e-10
Regulation_of_glomerular_mesangial_cell_proliferation	0.007
Regulation_of_growth	0.0037
Regulation_of_kidney_development	0.0095
Regulation_of_macromolecule_biosynthetic_process	3.35e-11
Regulation_of_macromolecule_metabolic_process	6.26e-07
Regulation_of_metabolic_process	5.2e-08
Regulation_of_multicellular_organismal_development	5.41e-05
Regulation_of_multicellular_organismal_process	1.17e-06
Regulation_of_nervous_system_development	4.23e-05
