	cluster1
Anatomical_structure_development	5.6e-39
Anatomical_structure_formation_involved_in_morphogenesis	3.1e-09
Anatomical_structure_morphogenesis	7.45e-31
Animal_organ_development	2.82e-34
Animal_organ_morphogenesis	1.23e-29
Anterior/posterior_pattern_specification	1.62e-14
Astrocyte_differentiation	0.00065
Atrial_cardiac_muscle_tissue_development	0.00011
Atrioventricular_node_development	0.0032
Autonomic_nervous_system_development	0.0024
Axis_specification	0.00072
Axon_development	1.29e-10
Axon_guidance	7.13e-09
Axonogenesis	1.61e-10
Biological_regulation	2.89e-11
Blood_vessel_development	0.00013
Bone_morphogenesis	0.0063
Brain_development	7.99e-18
Camera-type_eye_development	5.01e-06
Camera-type_eye_morphogenesis	7.22e-05
Cardiac_atrium_morphogenesis	0.0048
Cardiac_chamber_morphogenesis	0.00042
Cardiac_conduction_system_development	6.78e-05
Cardiac_muscle_cell_development	0.0049
Cardiac_muscle_cell_differentiation	3.63e-05
Cardiac_muscle_tissue_development	0.00011
Cardiac_pacemaker_cell_development	0.004
Cardiac_right_ventricle_morphogenesis	0.0013
Cardiac_septum_morphogenesis	0.0012
Cell-cell_signaling	3.85e-06
Cell_development	2.31e-14
Cell_differentiation	1.56e-33
Cell_differentiation_in_spinal_cord	2.01e-13
Cell_differentiation_involved_in_metanephros_development	0.0011
Cell_fate_commitment	1.01e-28
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	0.00034
Cell_fate_determination	1.57e-12
Cell_fate_specification	1.85e-13
Cell_migration	0.00096
Cell_morphogenesis	5.2e-07
Cell_morphogenesis_involved_in_differentiation	3.69e-08
Cell_population_proliferation	4.83e-09
Cell_proliferation_in_forebrain	0.0024
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	0.003
Cellular_component_morphogenesis	5.52e-09
Cellular_process	0.0063
Central_nervous_system_development	5.02e-26
Central_nervous_system_neuron_differentiation	3.51e-16
Cerebral_cortex_GABAergic_interneuron_migration	0.0018
Cerebral_cortex_cell_migration	0.0024
Cerebral_cortex_development	0.00038
Cerebral_cortex_neuron_differentiation	0.00025
Cerebral_cortex_radially_oriented_cell_migration	0.0092
Chemotaxis	4e-05
Chondrocyte_differentiation	0.0031
Chordate_embryonic_development	2.48e-11
Circulatory_system_development	2.9e-05
Columnar/cuboidal_epithelial_cell_differentiation	4.47e-11
Connective_tissue_development	0.00059
Cranial_nerve_development	4.03e-05
Developmental_growth	0.00025
Developmental_process	1.03e-35
Developmental_process_involved_in_reproduction	0.00059
Diencephalon_development	4.25e-10
Digestive_system_development	9.52e-12
Digestive_tract_development	6.33e-10
Digestive_tract_morphogenesis	8.69e-07
Dopaminergic_neuron_differentiation	0.00063
Dorsal/ventral_pattern_formation	9.23e-10
Ear_development	5.18e-08
Ear_morphogenesis	6.98e-08
Embryo_development	5.44e-23
Embryo_development_ending_in_birth_or_egg_hatching	1.31e-12
Embryonic_camera-type_eye_morphogenesis	0.0034
Embryonic_cranial_skeleton_morphogenesis	0.0021
Embryonic_digestive_tract_development	3.54e-05
Embryonic_digestive_tract_morphogenesis	4.27e-05
Embryonic_eye_morphogenesis	0.0007
Embryonic_forelimb_morphogenesis	0.0064
Embryonic_heart_tube_development	0.0027
Embryonic_limb_morphogenesis	4.56e-06
Embryonic_morphogenesis	9.49e-18
Embryonic_organ_development	5.78e-18
Embryonic_organ_morphogenesis	3.14e-18
Embryonic_skeletal_joint_development	0.00065
Embryonic_skeletal_joint_morphogenesis	0.0063
Embryonic_skeletal_system_development	8.94e-07
Embryonic_skeletal_system_morphogenesis	7.54e-06
Endocrine_pancreas_development	9.92e-05
Endocrine_system_development	7.13e-09
Epidermal_cell_differentiation	0.0015
Epidermis_development	9.8e-05
Epithelial_cell_development	0.0011
Epithelial_cell_differentiation	4.63e-19
Epithelial_tube_morphogenesis	0.0018
Epithelium_development	9.43e-22
Eye_development	8.08e-07
Eye_morphogenesis	4.58e-05
Fat_cell_differentiation	0.0022
Forebrain_anterior/posterior_pattern_specification	0.00051
Forebrain_development	1.47e-15
Forebrain_generation_of_neurons	2.42e-05
Forebrain_neuron_differentiation	0.0013
Forebrain_regionalization	2.85e-07
Forelimb_morphogenesis	0.0011
Formation_of_primary_germ_layer	0.0023
GABAergic_neuron_differentiation	0.00079
Generation_of_neurons	5.39e-29
Gland_development	2.73e-10
Glandular_epithelial_cell_development	0.0048
Glandular_epithelial_cell_differentiation	6.48e-06
Glial_cell_differentiation	3.28e-06
Glial_cell_fate_commitment	0.00034
Gliogenesis	7.32e-06
Gonad_development	0.0033
Head_development	9.5e-19
Heart_development	0.0038
Heart_looping	0.0067
Heart_morphogenesis	0.0013
Hematopoietic_or_lymphoid_organ_development	0.0015
Hindbrain_development	0.00025
Hindlimb_morphogenesis	0.0085
Inner_ear_development	8.22e-07
Inner_ear_morphogenesis	1.73e-06
Interneuron_migration	8.33e-07
Kidney_mesenchyme_development	5.33e-05
Limb_morphogenesis	2.26e-06
Limbic_system_development	0.00024
Mesenchymal_cell_differentiation_involved_in_kidney_development	0.00011
Mesenchymal_cell_proliferation	0.0038
Mesenchyme_development	4.75e-06
Mesonephric_tubule_morphogenesis	0.0046
Metanephric_nephron_development	3.54e-05
Midbrain_development	0.0037
Mononuclear_cell_differentiation	0.0081
Morphogenesis_of_an_epithelium	1.6e-06
Multicellular_organism_development	3.65e-41
Multicellular_organismal_process	8.31e-30
Muscle_organ_development	0.0013
Muscle_structure_development	0.00011
Muscle_tissue_development	1.08e-08
Negative_regulation_of_RNA_metabolic_process	5.09e-13
Negative_regulation_of_apoptotic_process	0.00026
Negative_regulation_of_biological_process	5.55e-07
Negative_regulation_of_cell_death	0.00053
Negative_regulation_of_cell_differentiation	5.81e-08
Negative_regulation_of_cell_population_proliferation	0.00053
Negative_regulation_of_cellular_biosynthetic_process	1.58e-11
Negative_regulation_of_cellular_metabolic_process	2.15e-07
Negative_regulation_of_cellular_process	1.82e-07
Negative_regulation_of_developmental_process	5.3e-08
Negative_regulation_of_epithelial_cell_proliferation	0.00085
Negative_regulation_of_macromolecule_biosynthetic_process	4.68e-12
Negative_regulation_of_macromolecule_metabolic_process	7.32e-06
Negative_regulation_of_metabolic_process	2.54e-05
Negative_regulation_of_multicellular_organismal_process	0.0049
Negative_regulation_of_neuron_differentiation	1.28e-06
Negative_regulation_of_nitrogen_compound_metabolic_process	1.15e-06
Negative_regulation_of_transcription,_DNA-templated	1.81e-13
Negative_regulation_of_transcription_by_RNA_polymerase_II	9.91e-15
Nephron_epithelium_development	0.0012
Nephron_epithelium_morphogenesis	0.0012
Nephron_tubule_development	0.0026
Nerve_development	3.31e-06
Nervous_system_development	4.21e-34
Nervous_system_process	0.0013
Neural_precursor_cell_proliferation	8.5e-07
Neural_retina_development	0.0018
Neural_tube_patterning	3.05e-05
Neuroblast_proliferation	0.00025
Neuroepithelial_cell_differentiation	2.61e-05
Neurogenesis	5.27e-29
Neuron_development	7.84e-12
Neuron_differentiation	2.25e-28
Neuron_fate_commitment	4.65e-22
Neuron_fate_determination	5.74e-06
Neuron_fate_specification	6.13e-11
Neuron_migration	1.33e-08
Neuron_projection_development	8.36e-09
Neuron_projection_morphogenesis	2.9e-09
Odontogenesis	6.2e-05
Odontogenesis_of_dentin-containing_tooth	0.0027
Olfactory_bulb_development	0.0077
Oligodendrocyte_cell_fate_specification	0.00084
Oligodendrocyte_differentiation	0.0022
Outflow_tract_septum_morphogenesis	0.0031
Pallium_development	2e-06
Pancreas_development	7.8e-08
Pancreatic_A_cell_differentiation	0.0002
Pattern_specification_involved_in_kidney_development	0.004
Pattern_specification_process	7.61e-30
Pharyngeal_system_development	0.0048
Pituitary_gland_development	0.00012
