	cluster2	cluster3	cluster4	cluster5	cluster6
Adrenal_gland_development	1	0.00044	1	1	1
Alpha-beta_T_cell_differentiation	1	0.0091	1	1	1
Anatomical_structure_development	1	1	1	1	3.55e-17
Anatomical_structure_formation_involved_in_morphogenesis	1	1	1	1	5.21e-07
Anatomical_structure_morphogenesis	1	5.13e-12	1	1	2.46e-15
Animal_organ_development	1	6.06e-10	1	1	1.87e-16
Animal_organ_morphogenesis	1	3.97e-10	1	1	5.53e-10
Anterior/posterior_pattern_specification	0.00024	0.0079	1	1	1.64e-05
Autonomic_nervous_system_development	1	0.0029	1	1	0.008
Axon_development	1	2.99e-08	1	1	1
Axon_guidance	1	1.76e-06	1	1	1
Axonogenesis	1	9.05e-08	1	1	1
Biological_regulation	1	0.00038	1	1	1
Blood_vessel_development	1	1	1	1	0.00026
Blood_vessel_morphogenesis	1	1	1	1	0.007
Brain_development	1	2.39e-08	1	1	1.65e-11
Camera-type_eye_development	1	1	1	1	4.68e-08
Cardiac_cell_fate_commitment	1	0.0026	1	1	1
Cell-cell_signaling	1	0.0042	1	1	1
Cell_development	1	5.63e-09	1	1	0.00034
Cell_differentiation	1	1.25e-12	1	1	2.04e-14
Cell_differentiation_in_spinal_cord	1	0.00015	1	1	0.00028
Cell_fate_commitment	1	1.81e-09	1	1	2.1e-17
Cell_fate_determination	1	0.0022	1	1	1
Cell_fate_specification	1	5.18e-06	1	1	4.31e-08
Cell_migration	1	0.00088	1	1	1
Cell_morphogenesis_involved_in_neuron_differentiation	1	7.48e-08	1	1	1
Cell_population_proliferation	1	0.0023	1	1	3.09e-07
Central_nervous_system_development	1	7.29e-10	1	1	2.04e-14
Central_nervous_system_neuron_development	1	0.0015	1	1	1
Central_nervous_system_neuron_differentiation	1	1.68e-07	1	1	8.89e-05
Chemical_synaptic_transmission	1	0.0059	1	1	1
Chordate_embryonic_development	1	1	1	1	1.96e-05
Circulatory_system_development	1	1	1	1	0.0018
Developmental_process	1	3.57e-11	1	1	1
Diencephalon_development	1	5.14e-05	1	1	0.0013
Dorsal/ventral_pattern_formation	1	0.0013	1	1	1
Ear_development	1	0.00015	1	1	2.31e-05
Ear_morphogenesis	1	0.0069	1	1	1.82e-05
Embryo_development	1	2.28e-07	1	1	1.1e-09
Embryonic_cranial_skeleton_morphogenesis	1	1	1	1	0.00022
Embryonic_forelimb_morphogenesis	1	1	1	1	6.4e-05
Embryonic_limb_morphogenesis	1	1	1	1	0.00029
Embryonic_morphogenesis	1	2.38e-07	1	1	7.69e-12
Embryonic_organ_development	1	0.00035	1	1	2.34e-09
Embryonic_organ_morphogenesis	1	0.00011	1	1	3.97e-07
Embryonic_skeletal_system_morphogenesis	0.0015	1	1	1	1
Endocrine_system_development	1	4.34e-06	1	1	0.0004
Enteric_nervous_system_development	1	0.0031	1	1	1
Epithelial_cell_differentiation	1	0.0035	1	1	0.00011
Epithelium_development	1	1.87e-06	1	1	1.15e-10
Eye_development	1	0.0039	1	1	8.16e-09
Forebrain_development	1	1.87e-10	1	1	1.01e-08
Forebrain_generation_of_neurons	1	1	1	1	0.00032
Forebrain_neuron_differentiation	1	0.0017	1	1	0.0054
Forelimb_morphogenesis	1	1	1	1	2.27e-06
Fungiform_papilla_development	1	1	1	1	0.0071
Generation_of_neurons	1	3.28e-13	1	1	1.2e-12
Gland_development	1	0.0067	1	1	7.6e-05
Glial_cell_differentiation	1	1	1	1	6.78e-06
Head_development	1	1	1	1	2.24e-12
Hindbrain_development	1	0.00014	1	1	1
Hindlimb_morphogenesis	1	1	1	1	0.0036
Inner_ear_development	1	0.0057	1	1	0.00018
Inner_ear_morphogenesis	1	1	1	1	0.00018
Kidney_epithelium_development	1	0.0088	1	1	1
Limb_morphogenesis	1	1	1	1	3.28e-05
Limbic_system_development	1	1	1	1	0.00023
Mesenchymal_cell_differentiation	1	1	1	1	7.62e-05
Morphogenesis_of_an_epithelium	1	1	1	1	0.0013
Multicellular_organism_development	1	1.5e-14	1	1	2.1e-17
Multicellular_organismal_process	1	5.01e-12	1	1	1
Muscle_organ_development	1	0.0063	1	1	0.0014
Muscle_structure_development	1	1	1	1	0.0021
Muscle_tissue_development	1	1	1	1	1.34e-05
Negative_regulation_of_RNA_metabolic_process	1	4.69e-06	1	1	1
Negative_regulation_of_alpha-beta_T_cell_differentiation	1	0.0099	1	1	1
Negative_regulation_of_apoptotic_process	1	0.0032	1	1	0.0016
Negative_regulation_of_biological_process	1	4.11e-05	1	1	0.0023
Negative_regulation_of_cell_differentiation	1	0.0017	1	1	0.00025
Negative_regulation_of_cell_population_proliferation	1	1	1	1	3.91e-05
Negative_regulation_of_cellular_biosynthetic_process	1	1.93e-05	1	1	1
Negative_regulation_of_cellular_process	1	9.4e-06	1	1	0.0017
Negative_regulation_of_developmental_process	1	4.81e-05	1	1	0.00033
Negative_regulation_of_female_gonad_development	1	0.0093	1	1	1
