GENE,cluster1
EMX1,1.0
DLX4,1.0
HOXC10,1.0
TBX5,1.0
ONECUT1,1.0
PAX7,1.0
LBX1,1.0
NKX2-6,1.0
BARHL2,1.0
VAX1,1.0
RAX,1.0
GBX2,1.0
RSPO1,1.0
GSX1,1.0
NTNG2,1.0
GATA5,1.0
WNT1,1.0
TBX1,1.0
PDX1,1.0
CNPY1,1.0
SYT2,1.0
SRCIN1,1.0
BTNL9,1.0
NEUROG3,1.0
RBFOX3,1.0
OTX1,1.0
MYOD1,1.0
TFAP2B,1.0
CACNG2,1.0
SHANK1,1.0
NKX2-2,1.0
HMX1,1.0
FEZF2,1.0
HOXB6,1.0
HAPLN2,1.0
PTPRN2,1.0
HPCAL4,1.0
GATA4,1.0
NTN1,1.0
TBX4,1.0
SCRT2,1.0
GRIK4,1.0
ALOX12B,1.0
GBX1,1.0
CELF4,1.0
DMRT2,1.0
ZIC4,1.0
SHH,1.0
DSCAML1,1.0
LMX1A,1.0
XKR6,1.0
IGSF21,1.0
SLC6A17,1.0
UNCX,1.0
HAND2,1.0
NRN1,1.0
NKX2-5,1.0
GNAS,1.0
EVX1,1.0
POU3F2,1.0
SALL3,1.0
NGFR,1.0
NKX6-1,1.0
CPLX4,1.0
SNCB,1.0
DBH,1.0
TTC6,1.0
DMRT1,1.0
PPP2R2C,1.0
SSTR5,1.0
GATA2,1.0
SLC8A2,1.0
ARX,1.0
SYT5,1.0
GALNT9,1.0
RASGRF1,1.0
SLC6A5,1.0
WNT3A,1.0
ELFN2,1.0
SLC6A12,1.0
NPTX1,1.0
FOXD2,1.0
NEUROD2,1.0
EOMES,1.0
CDH4,1.0
RNF220,1.0
CDH22,1.0
MPPED1,1.0
JPH3,1.0
SEZ6,1.0
NRG2,1.0
CYP26A1,1.0
TLX3,1.0
CPLX1,1.0
MNX1,1.0
DBX1,1.0
HOXB7,1.0
FOXB2,1.0
CRLF1,1.0
ADRA2C,1.0
NKX2-3,1.0
DMRT3,1.0
HOXB5,1.0
PRKAG1,1.0
CBX8,1.0
CRMP1,1.0
FGF8,1.0
PCK1,1.0
FOXL1,1.0
MEGF11,1.0
SIX3,1.0
PHACTR3,1.0
TBX15,1.0
KCNH2,1.0
SP8,1.0
EPHA10,1.0
RHCG,1.0
SEMA5B,1.0
MAFB,1.0
BARX1,1.0
KCNT1,1.0
EXOC6,1.0
HOXB13,1.0
HOXA11,1.0
OLFM1,1.0
FBXL16,1.0
VSX1,1.0
BARX2,1.0
WNT10A,1.0
KIF1A,1.0
GRIK3,1.0
SLC17A7,1.0
NR2E1,1.0
HSF4,1.0
TBX20,1.0
KCNQ1,1.0
GAD2,1.0
GSX2,1.0
TCF21,1.0
SYN2,1.0
CCDC33,1.0
LRFN2,1.0
CUX2,1.0
OVOL1,1.0
IRF4,1.0
PDYN,1.0
