GENE,cluster1,cluster2,cluster3
UNCX,0.9999978042099029,0.0,2.1957900953387246e-06
SOX17,0.9999732455579097,0.0,2.6754442090375214e-05
GATA3,1.0,0.0,2.327879888762678e-34
HMX1,0.0016275393863409073,0.0,0.9983724606136601
POU3F2,0.9999999999946247,0.0,5.375167333298677e-12
NTNG2,1.0,0.0,1.7226886873452808e-20
LMX1B,2.3227747412915026e-09,0.0,0.9999999976772287
PAX1,0.9999627713479851,0.0,3.7228652015521635e-05
PAX6,1.0,0.0,6.329213567151363e-19
PRSS16,5.79490469249994e-20,0.0,1.0
POM121L2,1.8529392759976322e-19,0.0,1.0
NPTX1,1.0,0.0,8.550326906540611e-17
NKX2-5,0.9998739570649144,0.0,0.00012604293508484797
OTP,0.9999999999999929,0.0,7.537985556898349e-15
TBX15,1.0,0.0,5.302690219373232e-19
NKX2-3,0.9999906230725261,0.0,9.376927472192573e-06
WNT10A,0.011590877047511954,0.0,0.9884091229524898
HAND1,1.0,0.0,6.651893178476247e-32
NKX2-6,0.9992545428509018,0.0,0.0007454571490976503
PAX9,1.0,0.0,6.5224175526228175e-22
PTF1A,0.0017093135530323596,0.0,0.998290686446969
HOXB6,8.205032757444356e-223,0.0,1.0
VSX2,1.0,0.0,1.299599352030494e-18
GSX2,1.0,0.0,3.2767521060043606e-18
HOXC10,1.6012989471188003e-284,1.0,0.0
PAX7,3.6875558547735836e-05,0.0,0.999963124441452
IRX4,0.9993492507752626,0.0,0.0006507492247387059
BCAN,0.9999999999999787,0.0,1.9968917345585276e-14
LPO,0.999996641574382,0.0,3.358425619176931e-06
TTC6,0.9999999996866009,0.0,3.134005468235437e-10
PDX1,0.9999762746331818,0.0,2.372536681902986e-05
TBX21,0.9999999998137064,0.0,1.8629519394076676e-10
GSX1,0.9961878922182478,0.0,0.003812107781751558
FOXA1,0.9999999996866009,0.0,3.134005468235437e-10
MSX2,0.9999933348721339,0.0,6.665127866765906e-06
FEZF2,0.9999999999999964,0.0,1.9246197761642965e-15
NR2E1,0.999997706375344,0.0,2.293624655918553e-06
EOMES,0.9999999999969091,0.0,3.091022946235733e-12
POU4F2,0.9998446658351331,0.0,0.00015533416486864443
EVX1,8.987690548866418e-65,0.0,1.0
FOXD2,0.00012358408420347217,0.0,0.9998764159157979
WNT3A,0.999922308924361,0.0,7.769107563986498e-05
TTLL6,0.9999999998139657,0.0,1.8603331494498867e-10
HPCAL4,2.10512193034749e-08,0.0,0.999999978948779
HAPLN2,0.9999610804289043,0.0,3.891957109558155e-05
SHANK1,0.9999802731268753,0.0,1.9726873125333034e-05
POU4F3,1.0,0.0,4.1139815800615564e-20
SNCB,0.9998544305011601,0.0,0.00014556949884027227
TBX4,0.9999504493984966,0.0,4.9550601501861765e-05
COL2A1,0.999947088234195,0.0,5.2911765801932476e-05
NR5A1,1.0,0.0,1.7427274699027505e-17
IRF4,0.9999999999999893,0.0,9.912231080033318e-15
NKX2-2,1.0,0.0,2.291656544518667e-17
NEUROG2,0.9999999995804494,0.0,4.195522433001262e-10
RFX4,1.0,0.0,9.064266051991362e-20
PRDM6,0.9999999999333085,0.0,6.669262713439227e-11
CDC20B,0.9969897438611744,0.0,0.0030102561388241932
ROBO3,0.9999999926337466,0.0,7.366252680970692e-09
RSPO1,1.0,0.0,5.833593323550749e-24
GRM4,1.0,0.0,8.50411483035645e-24
NRN1,1.0,0.0,7.705886171280168e-25
SYPL2,0.999999986990531,0.0,1.3009467392543191e-08
FEZF1,0.9999999999977653,0.0,2.2344864151259156e-12
SLC8A2,1.0,0.0,2.28122224455113e-16
SLC12A5,0.9999999877690194,0.0,1.2230981654016553e-08
CRYBA2,0.06357627537150375,0.0,0.9364237246284951
DBX1,1.0,0.0,2.250591782614877e-18
FOXL2,1.0,0.0,5.144667303640943e-16
NRG2,0.9999941075929204,0.0,5.892407079530205e-06
TBX18,0.9999996747998874,0.0,3.2520011255829303e-07
CNPY1,6.765638784425261e-34,0.0,1.0
KCND3,0.9998775493473461,0.0,0.00012245065265563515
FAM43B,1.0,0.0,7.567516549807115e-19
SSTR5,0.9999117433902962,0.0,8.825660970352918e-05
DMTN,0.9999992982045367,0.0,7.017954618254955e-07
TFAP2B,0.9999993808489938,0.0,6.191510049551207e-07
DLX3,1.9230805440181873e-08,0.0,0.9999999807691966
CPLX4,0.9999990813083272,0.0,9.186916720384319e-07
SHH,0.9999999335672549,0.0,6.643274445914557e-08
DMRT3,0.9997397241922639,0.0,0.00026027580773647365
FOXL1,0.999389939030724,0.0,0.0006100609692748213
TCTE1,0.9999990780628161,0.0,9.219371852041304e-07
GJA3,0.9999999975306402,0.0,2.469359052437627e-09
HOXB5,3.621048406134045e-227,0.0,1.0
MYOD1,0.9993266799066467,0.0,0.0006733200933540219
SYT7,1.0,0.0,4.93240916953635e-19
OTOP3,0.9999988675790322,0.0,1.132420968223418e-06
C1QA,0.9999999999987352,0.0,1.2649574550055086e-12
HOXC13,4.455451973606622e-249,1.0,0.0
TBR1,0.9999999775022739,0.0,2.249772580125023e-08
WNT1,0.9999997430621487,0.0,2.569378499600046e-07
TFAP2D,0.9999968939942709,0.0,3.1060057273879696e-06
IRX2,0.9999925818778714,0.0,7.418122127784845e-06
VSTM2L,0.9999999950404224,0.0,4.959576173397277e-09
SRCIN1,0.9999378408459999,0.0,6.215915400126308e-05
RNF220,0.9999999999463718,0.0,5.362817536765106e-11
CACNG2,0.999999999999897,0.0,1.0451003307364635e-13
ONECUT1,0.9999999572213314,0.0,4.277866838827777e-08
SCRT2,0.9999999993654356,0.0,6.345636812437024e-10
ELFN2,0.9807672368042041,0.0,0.019232763195796546
MMP9,1.0,0.0,5.004251856864502e-17
LMX1A,0.999919017490032,0.0,8.0982509968418e-05
FBXL16,0.9999999999684839,0.0,3.1514571537630994e-11
KLF14,0.9999976007488739,0.0,2.399251124684005e-06
CELF4,0.9999999999040234,0.0,9.597705279882621e-11
POU2F3,0.9999389297927824,0.0,6.107020721741193e-05
NEUROG1,0.999999995889727,0.0,4.110273802254658e-09
EGR4,0.9999999999999964,0.0,2.0606632660048735e-15
PAX3,1.0,0.0,6.981972896447244e-17
CCDC33,0.9999999999999609,0.0,3.923374093593931e-14
GNAS,0.9999999938760737,0.0,6.123924794842642e-09
HLX,0.9999999999687113,0.0,3.129035069425584e-11
RAX,0.9999999978337684,0.0,2.1662309528539164e-09
DNAJC22,0.9999999814967817,0.0,1.8503219204576258e-08
VAX2,0.9999981790261987,0.0,1.8209738015105673e-06
SLC32A1,1.0,0.0,5.087364982830509e-21
LHX5,1.0,0.0,2.1355043920723486e-19
SCN4B,0.9993019088985705,0.0,0.0006980911014301791
