"","GSM844492","GSM844495","GSM844497","GSM844499","GSM844501","GSM844503","GSM844505","GSM844507","GSM844521","GSM844522","GSM844523","GSM844524"
"4933408M05RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921511E18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5330421C15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933416E14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2810404I24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933416A02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"PLCD4",1.5572648e-06,-1.2422748e-06,-6.239324e-06,1.788592e-06,-3.8326912e-06,-1.9544824e-06,4.0354652e-06,1.1713208e-06,-6.996288e-06,7.010588e-06,-3.6822292e-06,-7.64842e-07
"GSDMCL2",0,0,0,0,0,0,0,0,0,0,0,0
"NRXN3",-0.000231736631936,-0.000433626549472,0.00160790611248,-0.000705661138752,0.000577451831584,0.0023272282392,0.000393026319392,-0.000910583569456,-0.000945728755232,0.001024434921664,0.00128924758464,-0.000109136767376
"4930429N05RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5330433J24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430439C14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730405N03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730408A14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900046L07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5230400M06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921519G19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5330421F21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930448E22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921520E09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930444K16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730407O05RIK",0,0,0,0,0,0,0,0,0,0,0,0
"GM26664",0,0,0,0,0,0,0,0,0,0,0,0
"4930447I22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2610024D14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2410049M19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921507H08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930456A14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933423K11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921518B13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933421H12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"CES2F",8.2003072e-07,6.6427136e-07,2.6822144e-07,-2.6480384e-07,1.526528e-06,-1.5703936e-07,2.9288576e-06,2.127552e-07,5.7633664e-07,-3.0557184e-07,3.8724736e-06,5.5023872e-07
"9030607L02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730420F10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"LOC102642974",0,0,0,0,0,0,0,0,0,0,0,0
"4930456J16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"1700026H06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"LOC102636340",0,0,0,0,0,0,0,0,0,0,0,0
"5430402M21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900011F02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830495A06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930519E07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930403L11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"PANCT1",0,0,0,0,0,0,0,0,0,0,0,0
"5830462P14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830462O15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"PDE11A",0.001682951329818,-0.00408732002514,-0.00276411786255,9.4553339463e-05,0.001021683053457,-0.000324904058424,-0.000404829108288,0.000324175777497,-0.001644505876728,0.00485391674097,-0.00123792630093,-0.001176713964855
"CSRNP1",2.3921886e-06,2.3770086e-07,4.1656404e-07,1.4035566e-06,-8.6170512e-07,2.4738156e-06,-3.510996e-06,8.1612648e-07,-4.3184202e-07,2.796708e-06,-1.2504732e-06,-9.3412062e-07
"1700019L13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9030613N10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933423N03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4833446E11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430430B14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6330526H18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9030607J07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5530400N10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"AU041133",0,0,0,0,0,0,0,0,0,0,0,0
"6330436F06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"ORLY",0,0,0,0,0,0,0,0,0,0,0,0
"4930560O18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2310068G24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930421C12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830485P09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4833411I10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730406E14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900064K03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2310007H11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430430K15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930564B12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830434F19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930555B11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900018E21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"RABEPK",2.98117968e-07,1.07838324e-06,6.82926e-07,3.39390744e-07,5.1367284e-07,5.3109816e-07,1.07071548e-07,-6.206448e-08,-6.1223916e-07,-9.5961036e-08,5.1423786e-07,3.68821836e-08
"4930572C08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930535F04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5330430B06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933428L01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730478J17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2610011I18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"ITGB2L",0.005155065651752,0.000245014076516,-0.006864060558436,0.01519729427026,-0.00468861488477,-0.0007397004852368,-0.0006334708504446,-0.01932158839364,-0.0173328226346,-0.0004512531548144,0.01142904516768,0.007432694127072
"4931407J08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933411O13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930439G18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6230426I18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933423L19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6330510M09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6330582A15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730433N10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830433M15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6430605C03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933425E08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4931412I15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430402O13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2700078F05RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830435N06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933436P19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933407I18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930448K20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930402C16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5930427J20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5330430C04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930404F17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6430514K02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"3110062G12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900092N22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"SLC1A2",0.00604560221496,-0.017402799144192,-0.00628395318936,0.03005151785328,0.020297666312,0.016937730992952,-0.009766601426736,0.04307134524616,0.00404137318816,-0.001869154016268,0.00696249679664,-0.016542711544744
"GM13872",0,0,0,0,0,0,0,0,0,0,0,0
"4930473M17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"NSMCE1",-5.32202442e-09,2.63002371e-09,-9.9871266e-09,-6.25884498e-09,-2.06419917e-09,-5.62699371e-09,1.92983643e-09,-7.41759414e-09,-1.70047059e-08,-2.17031568e-09,-1.23015006e-08,3.13038186e-09
"4933428L12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9030419F21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"3100002H20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830438M01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"TRBV1",0,0,0,0,0,0,0,0,0,0,0,0
"5830474E16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933424L07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921504P20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730552O08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2300004M11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930456G14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9530002O20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830490A04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900069G24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930534I15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5330422M15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930513L20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930423C22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900040J22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"8430418B16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5033425B01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830448L01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"GOLGB1",7.65086e-07,-3.75587e-06,-4.984233e-07,2.409588e-06,-3.1667782e-08,1.054315e-05,5.6934416e-06,1.0114024e-05,-3.919595e-06,7.790498e-06,1.0963248e-06,-3.3497062e-06
"4930432H08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5031415H12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5230401M06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4921504P05RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9230118N17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933431C10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930513N20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933415B22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900022B07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9030201C23RIK",0,0,0,0,0,0,0,0,0,0,0,0
"B230204H03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6330562C20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"KIF13B",-1.21052252e-06,-3.06457736e-06,1.93257262e-06,-1.19969272e-06,-2.15186742e-06,-2.16401548e-06,-1.9944651e-06,-4.1064664e-06,-1.2640245e-06,-8.0964e-08,5.8122464e-06,4.1558752e-07
"1700008N17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6230414M07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930570E01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930485E13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930444E06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830456J23RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900034C19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"3110049I03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430440L12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930563F15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933427C19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6720477C19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"B230112I24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933433N18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A430105P17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930433M22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9530006O14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930445B03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"B230114A03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2310079F09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6030400A10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"NDFIP2",3.6856958e-05,2.0172146e-05,4.5006296e-05,-8.307979e-07,4.4899036e-05,-9.9462544e-06,4.7046658e-05,-1.32279606e-05,6.1125052e-05,9.902174e-06,2.19261584e-05,8.8766646e-06
"5033430J17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2210017G18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2700008E08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9430024C03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930566N20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6720482G16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2610311E24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830442K09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6330403N20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9430081G06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9430031J08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730415C11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933426I03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430425E15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930424E08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"C030011I16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"3830422I06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930448E06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9430013L17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830415B17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2810421E14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930573G07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6720475M21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"C530007A02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2310075M01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4931409D07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4932703K07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5033423K11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"8430437B07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A930011E06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A330102K18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930518C04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930500E03RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9430052A13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2810416A17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930553M12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9530004M16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A430110A21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930556A12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830440H09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933417G07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"PRUNE",0,0,0,0,0,0,0,0,0,0,0,0
"4921522E08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9330179C17RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4833417J16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"1520401O13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9530078B04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"C030045M22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"LCORL",1.6832879e-06,1.5708763e-05,2.075712e-05,1.686459e-05,8.398684e-06,3.61836e-06,2.712003e-05,3.774388e-06,1.5422224e-05,1.4663763e-05,1.4517691e-05,-2.890033e-05
"4930449I04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2310045N14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"1700039M15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830461L22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2900005I04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930478M09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930483C01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9530034D02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930456K20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930509E22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9330159N22RIK",0,0,0,0,0,0,0,0,0,0,0,0
"ZFP572",0,0,0,0,0,0,0,0,0,0,0,0
"D530031A16RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2700057C20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6720454L07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930486A15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930477O15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5430416B10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930519N06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9430087B13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930529F21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"9330154F10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930488N24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"ZFP980",1.1055468e-09,5.25672384e-09,-4.14222744e-09,1.40943544e-09,-1.33488256e-08,-5.5771828e-09,7.37861072e-10,-2.15877008e-08,8.573988e-10,7.88782488e-09,8.10927776e-09,-1.26859224e-08
"1700095A21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930573C08RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933401J01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"C030046M01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"C030004M13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"1700024P12RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930405G09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6720460K10RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6030460B20RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930480K02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730416F02RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5830432F11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A930036A04RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2810414N06RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930553P13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4933412L11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"C430049A07RIK",0,0,0,0,0,0,0,0,0,0,0,0
"D530015H24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"2610021J01RIK",0,0,0,0,0,0,0,0,0,0,0,0
"5730422E09RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A230102O21RIK",0,0,0,0,0,0,0,0,0,0,0,0
"1700023B13RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930527F18RIK",0,0,0,0,0,0,0,0,0,0,0,0
"A930036I15RIK",0,0,0,0,0,0,0,0,0,0,0,0
"4930563N14RIK",0,0,0,0,0,0,0,0,0,0,0,0
"6030458A19RIK",0,0,0,0,0,0,0,0,0,0,0,0
"8430401P03RIK",0,0,0,0,0,0,0,0,0,0,0,0
