GENE,cluster1
LMX1B,1.0
OLIG2,1.0
TFAP2A,1.0
POM121L2,1.0
ZIC5,1.0
DLX6,1.0
FOXD1,1.0
HOXC10,1.0
FOXA1,1.0
OLIG3,1.0
VAX1,1.0
BARHL2,1.0
PRDM8,1.0
NGFR,1.0
EMX1,1.0
NKX6-1,1.0
FOXD3,1.0
NPTX1,1.0
PRDM16,1.0
NTRK1,1.0
NR2F2,1.0
C1QL2,1.0
BARX1,1.0
FOXG1,1.0
HAND1,1.0
NKX2-6,1.0
LHX4,1.0
EN2,1.0
WNT10B,1.0
SOX2,1.0
FEZF1,1.0
TCHH,1.0
NKX2-3,1.0
ONECUT3,1.0
TFAP2B,1.0
ECEL1,1.0
PAX6,1.0
GATA6,1.0
SHOX2,1.0
VAX2,1.0
FOXB1,1.0
ISL1,1.0
GSX2,1.0
FOXL1,1.0
NEUROD2,1.0
SLC12A5,1.0
BLK,1.0
DLX3,1.0
FOXF2,1.0
IRX5,1.0
HOXB13,1.0
ARX,1.0
OTX1,1.0
HAPLN2,1.0
LHX5,1.0
SIX2,1.0
C1QA,1.0
OLIG1,1.0
SMUG1,1.0
SKOR1,1.0
FOXB2,1.0
POU3F2,1.0
DNAJC22,1.0
BCOR,1.0
CRYBA2,1.0
HLX,1.0
POU2F3,1.0
PRDM6,1.0
GBX1,1.0
LHX6,1.0
WNT3A,1.0
WNT1,1.0
EXOC6,1.0
LHX3,1.0
NEUROG2,1.0
BMP4,1.0
NEUROG3,1.0
TTLL6,1.0
NR5A1,1.0
GATA4,1.0
KCNQ2,1.0
DMBX1,1.0
PEBP4,1.0
HOXC9,1.0
FAM172A,1.0
FEZF2,1.0
FLI1,1.0
POU4F3,1.0
MEIS3,1.0
FOXD2,1.0
INSRR,1.0
DBX1,1.0
NKX2-5,1.0
MPPED1,1.0
CYP26B1,1.0
ATP6V1B1,1.0
KCNA1,1.0
RFX4,1.0
CNPY1,1.0
PTF1A,1.0
ATOH8,1.0
NR5A2,1.0
ZIC2,1.0
BHLHE22,1.0
GRIK3,1.0
EHBP1,1.0
IHH,1.0
CDC20B,1.0
KCNA2,1.0
NTNG2,1.0
DUOXA1,1.0
LPO,1.0
VSX1,1.0
HOXA10,1.0
AQP5,1.0
OSR1,1.0
MAFB,1.0
BMI1,1.0
ALX3,1.0
NKX2-2,1.0
METAP1D,1.0
IRF4,1.0
CPLX4,1.0
PCDH8,1.0
TCF21,1.0
RSPO1,1.0
SLC6A1,1.0
TFAP2D,1.0
TMC2,1.0
PAX1,1.0
HOXC8,1.0
PCDH1,1.0
GAD2,1.0
CDX2,1.0
NKD2,1.0
IGF2BP3,1.0
EGR4,1.0
EVX1,1.0
SLC9A3,1.0
DMRT2,1.0
KCNK13,1.0
NR2E1,1.0
ATOH1,1.0
EPS8L1,1.0
TNNI3,1.0
EBF2,1.0
PRSS56,1.0
