GENE,cluster1
LMX1B,1.0
HOXD8,1.0
NKX2-2,1.0
LHX2,1.0
HOXC10,1.0
PRSS16,1.0
ALX4,1.0
LBX1,1.0
MNX1,1.0
EN2,1.0
GATA4,1.0
EPHA8,1.0
LHX4,1.0
SCRG1,1.0
BCAN,1.0
IRX2,1.0
IGSF21,1.0
TBX1,1.0
PHOX2B,1.0
SIX2,1.0
TBX18,1.0
UNC5A,1.0
IRX1,1.0
TBX3,1.0
LINGO1,1.0
FOXB2,1.0
PRDM6,1.0
EN1,1.0
FEZF2,1.0
SIX6,1.0
BARX1,1.0
ONECUT1,1.0
FOXC1,1.0
CBX8,1.0
SIM1,1.0
ASCL1,1.0
HAND2,1.0
NTN1,1.0
IRX5,1.0
DNAJC22,1.0
SOX2,1.0
CDH22,1.0
HOXC9,1.0
TTC6,1.0
DMRT3,1.0
INHBB,1.0
TCHH,1.0
LHX3,1.0
SP8,1.0
TLX3,1.0
SHH,1.0
DLX3,1.0
DUOXA1,1.0
TBX5,1.0
TBX2,1.0
BUB3,1.0
NR2F2,1.0
POU4F3,1.0
NEUROG3,1.0
DMRTA2,1.0
TFAP2A,1.0
PDE2A,1.0
GJA3,1.0
IGF2BP1,1.0
CDC20B,1.0
CRYBA2,1.0
HOXB13,1.0
GRIK3,1.0
ISL1,1.0
HOXA7,1.0
AQP5,1.0
OSR2,1.0
EVX1,1.0
BARHL2,1.0
TCTE1,1.0
FOXG1,1.0
DOK7,1.0
ECEL1,1.0
TFAP2D,1.0
NKX3-1,1.0
SALL1,1.0
VAX1,1.0
FEZF1,1.0
C1QA,1.0
TAL1,1.0
HAPLN2,1.0
SLC17A7,1.0
BCL11B,1.0
DLX2,1.0
MEIS2,1.0
DLX6,1.0
BMP7,1.0
RIPK4,1.0
SYPL2,1.0
NFIX,1.0
BHLHE22,1.0
LHX8,1.0
FOXD1,1.0
RGMA,1.0
KCNC1,1.0
WNT1,1.0
NEUROD2,1.0
NEUROD1,1.0
GBX1,1.0
POM121L2,1.0
TMC2,1.0
SIM2,1.0
EXOC6,1.0
SATB2,1.0
IHH,1.0
POU3F3,1.0
POU4F2,1.0
NKX6-1,1.0
NR5A1,1.0
FAM172A,1.0
PRDM8,1.0
CNTFR,1.0
FOXA1,1.0
BMI1,1.0
PAX1,1.0
ZIC3,1.0
LMO2,1.0
ZBTB16,1.0
PDX1,1.0
PHF21B,1.0
SMUG1,1.0
SEMA5B,1.0
OTX1,1.0
NFASC,1.0
MECOM,1.0
PLXNA4,1.0
ATOH1,1.0
SKOR1,1.0
MEIS1,1.0
POU3F2,1.0
VPREB1,1.0
OTOP2,1.0
KCNJ5,1.0
CDKN2C,1.0
HOXD9,1.0
GIMAP5,1.0
IRF8,1.0
SYNDIG1L,1.0
HOXC4,1.0
QSOX2,1.0
